developer,total_games,avg_positive_ratio
VisualArts/Key,7,0.96470000
"NEKO WORKs",6,0.95811667
"Nickervision Studios",8,0.95708750
"07th Expansion",9,0.95180000
"Crankage Games",5,0.94756000
