name,free_games
"World War Party: Game Of Trump",1
"Shark Simulator",1
"Anti Gravity Warriors VR",1
"The Beanstalk",1
"Google Spotlight Stories: Special Delivery",1
"Dino Scourge",1
Wired,1
"Outside the Lines",1
"A Stickman Reality",1
"Kitrinos: Inside the Cube",1
"CROSS X CARROT",1
"PaulPaul - Act 1",1
"Spire of Sorcery – Character Generator / 角色生成器",1
Warrecs,1
"Hotel Remorse",1
BinaryBotsVR,1
"IQ Test",1
Farjob,1
"Holiday Escape",1
"We Are Terror: The First Days",1
"Test Subject 901",1
"Team Up VR (Beta)",1
"Construction Charlie",1
"Shards the Deckbuilder",1
Metanormal,1
"A Game About",1
"Shooting Hurts",1
"Tennis Story",1
"Circuit Slinger",1
Fallstreak,1
"Blocky Snake",1
"Star Trek: En Territoire Alien",1
"Mixed Estate",1
"Where The Water Tastes Like Wine: Fireside Chats",1
"死亡投票_Death Voting Game",1
"Record of Lodoss War Online",1
"Russian Roulette: One Life",1
"And You're There, Too",1
"Strange Encounter",1
"Dark Gnome",1
"At Home Alone",1
"Hell Breaker",1
"Siam Twinstick",1
"异霊 皓月空华",1
"永冻之壳 The Shell of Permafrost",1
"Total Battle",1
"Bloons Adventure Time TD",1
"Pixel Battle Royale",1
"Steel Alcimus",1
Seeker,1
"War Online: Pacific",1
"Switch & Ditch",1
"Soccer Manager 2019",1
"Mobile Wars X",1
某1种青春,1
"Invasion Zero",1
Brawl,1
"Wizard And Minion Idle",1
"One Synth",1
Tobit,1
"Two Clusters: Kain",1
Vainglory,1
"It Moves",1
Survivor,1
"vApe Escape",1
"Slime Simulator Games",1
Raatihuone,1
Exosphere,1
"Trial of the Towers",1
"Geometry May. I swear it's a nice free game",1
Bullseye,1
"Renters Revenge",1
PlayUSA,1
"Lines X Free",1
"Board Games VR",1
"Coffee Run",1
"Legendary DXP",1
vBuilder,1
"Moose Invasion",1
アルカナリッター,1
"Chronicles of cyberpunk",1
TRATEL64,1
"Rig or Skill: PC Brawl",1
"Hero Plus",1
"Google Spotlight Stories: Piggy",1
"One Night",1
"Six Days of Snow",1
Aimtastic,1
"Versus World",1
"Garden of Oblivion",1
Xploquest,1
"Russian Fishing 4",1
"GizmoVR Video Player",1
"Iron League",1
MatchyGotchy,1
Piwall,1
"Outworld Battlegrounds",1
"Vinhomes Metropolis VR Interior",1
"Die pig die",1
"The Alpha Device",1
"Epic Roller Coasters",1
"The Adventures of Nick & Willikins",1
"Canek: Quest for Corn [Demo]",1
Exocraft,1
"Mavi's Journey",1
"Biotix: Phage Genesis",1
"Acute Art",1
P.A.S.,1
"The Lone Chameleon",1
Traum,1
DrillsVR,1
"Build Wars",1
Laplace：拉普拉斯的神子,1
